og	go	type	evidence
1002357at2759	GO:0004177	F	IEA
1002357at2759	GO:0006464	P	IEA
1002357at2759	GO:0006508	P	IEA
1002357at2759	GO:0008233	F	IEA
1002357at2759	GO:0016787	F	IEA
1002357at2759	GO:0046872	F	IEA
1002357at2759	GO:0070006	F	IEA
1002357at2759	GO:0070084	P	IEA
1021387at2759	GO:0000813	C	IEA
1021387at2759	GO:0005737	C	IEA
1021387at2759	GO:0005768	C	IEA
1021387at2759	GO:0010008	C	IEA
1021387at2759	GO:0015031	P	IEA
1021387at2759	GO:0016020	C	IEA
1021387at2759	GO:0017124	F	IEA
1021387at2759	GO:0031902	C	IEA
1024049at2759	GO:0005975	P	IEA
1024049at2759	GO:0008194	F	IEA
1024049at2759	GO:0016740	F	IEA
1024049at2759	GO:0016758	F	IEA
1024049at2759	GO:0030259	P	IEA
1024049at2759	GO:0071704	P	IEA
1059849at2759	GO:0003824	F	IEA
1059849at2759	GO:0006595	P	IEA
1059849at2759	GO:0006596	P	IEA
1059849at2759	GO:0016740	F	IEA
1074094at2759	GO:0016491	F	IEA
1094172at2759	GO:0005783	C	IEA
1094172at2759	GO:0005789	C	IEA
1094172at2759	GO:0006629	P	IEA
1094172at2759	GO:0006631	P	IEA
1094172at2759	GO:0006633	P	IEA
1094172at2759	GO:0006636	P	IEA
1094172at2759	GO:0008610	P	IEA
1094172at2759	GO:0009922	F	IEA
1094172at2759	GO:0016020	C	IEA
1094172at2759	GO:0016021	C	IEA
1094172at2759	GO:0016740	F	IEA
1094172at2759	GO:0019367	P	IEA
1094172at2759	GO:0034626	P	IEA
1094172at2759	GO:0035338	P	IEA
1094172at2759	GO:0042761	P	IEA
1094172at2759	GO:0044249	P	IEA
1094172at2759	GO:0044255	P	IEA
1094172at2759	GO:0102756	F	IEA
1099858at2759	GO:0003824	F	IEA
1099858at2759	GO:0006520	P	IEA
1099858at2759	GO:0016829	F	IEA
1120393at2759	GO:0005634	C	IEA
1120393at2759	GO:0015031	P	IEA
1152122at2759	GO:0010506	P	IEA
1160863at2759	GO:0003677	F	IEA
1160863at2759	GO:0003743	F	IEA
1160863at2759	GO:0005634	C	IEA
1160863at2759	GO:0005654	C	IEA
1160863at2759	GO:0005669	C	IEA
1160863at2759	GO:0005673	C	IEA
1160863at2759	GO:0005829	C	IEA
1160863at2759	GO:0006366	P	IEA
1160863at2759	GO:0006367	P	IEA
1160863at2759	GO:0006413	P	IEA
1160863at2759	GO:0016251	F	IEA
1160863at2759	GO:0016607	C	IEA
1171861at2759	GO:0005524	F	IEA
1171861at2759	GO:0005737	C	IEA
1171861at2759	GO:0005777	C	IEA
1171861at2759	GO:0005778	C	IEA
1171861at2759	GO:0006625	P	IEA
1171861at2759	GO:0007031	P	IEA
1171861at2759	GO:0016887	F	IEA
1171861at2759	GO:0034613	P	IEA
1174160at2759	GO:0005739	C	IEA
1174160at2759	GO:0008121	F	IEA
1174160at2759	GO:0016020	C	IEA
1174160at2759	GO:0016021	C	IEA
1174160at2759	GO:0022900	P	IEA
1174160at2759	GO:0046872	F	IEA
1174160at2759	GO:0051536	F	IEA
1174160at2759	GO:0051537	F	IEA
1174160at2759	GO:1902600	P	IEA
1185856at2759	GO:0008080	F	IBA
1189095at2759	GO:0004418	F	IEA
1189095at2759	GO:0006779	P	IEA
1189095at2759	GO:0006782	P	IEA
1189095at2759	GO:0006783	P	IEA
1189095at2759	GO:0016740	F	IEA
1189095at2759	GO:0018160	P	IEA
1189095at2759	GO:0033014	P	IEA
1193442at2759	GO:0005730	C	IBA
1193442at2759	GO:0005737	C	IBA
1193442at2759	GO:0006364	P	IBA
1193442at2759	GO:0030515	F	IBA
1193442at2759	GO:0030688	C	IBA
1193442at2759	GO:0043229	C	IEA
1206249at2759	GO:0003824	F	IEA
1206249at2759	GO:0019441	P	IEA
1206249at2759	GO:0020037	F	IEA
1206249at2759	GO:0046872	F	IEA
1219799at2759	GO:0005654	C	ISO
1219799at2759	GO:0016567	P	IEA
1219799at2759	GO:0043161	P	IBA
1219799at2759	GO:0080008	C	IBA
1225872at2759	GO:0004364	F	IEA
1225872at2759	GO:0006749	P	IEA
1225872at2759	GO:0016740	F	IEA
1225872at2759	GO:0042221	P	IEA
1234988at2759	GO:0003677	F	IEA
1234988at2759	GO:0003700	F	IBA
1234988at2759	GO:0005634	C	IBA
1234988at2759	GO:0006355	P	IEA
1263874at2759	GO:0003951	F	IEA
1263874at2759	GO:0006741	P	IEA
1263874at2759	GO:0016301	F	IEA
1263874at2759	GO:0016310	P	IEA
1263874at2759	GO:0016740	F	IEA
1263874at2759	GO:0016773	F	IEA
1263874at2759	GO:0019674	P	IEA
1331328at2759	GO:0005634	C	IEA
1331328at2759	GO:0005737	C	IEA
1331328at2759	GO:0005854	C	IEA
1331328at2759	GO:0015031	P	IEA
1331328at2759	GO:0042788	C	IEA
1337630at2759	GO:0000166	F	IEA
1337630at2759	GO:0003676	F	IEA
1337630at2759	GO:0003677	F	IEA
1337630at2759	GO:0003723	F	IEA
1337630at2759	GO:0004386	F	IEA
1337630at2759	GO:0004525	F	IEA
1337630at2759	GO:0005524	F	IEA
1337630at2759	GO:0006396	P	IEA
1337630at2759	GO:0016070	P	IEA
1337630at2759	GO:0016787	F	IEA
1337630at2759	GO:0016891	F	IEA
1337630at2759	GO:0031047	P	IEA
1337630at2759	GO:0050688	P	IEA
1337630at2759	GO:0051607	P	IEA
1337630at2759	GO:0090501	P	IEA
1337630at2759	GO:0090502	P	IEA
1348942at2759	GO:0009966	P	IEA
1351067at2759	GO:0003779	F	IEA
1351067at2759	GO:0005737	C	IEA
1351067at2759	GO:0005856	C	IEA
1351067at2759	GO:0005885	C	IEA
1351067at2759	GO:0015629	C	IEA
1351067at2759	GO:0030041	P	IEA
1351067at2759	GO:0030479	C	IEA
1351067at2759	GO:0030833	P	IEA
1351067at2759	GO:0034314	P	IEA
1351297at2759	GO:0016020	C	IEA
1351297at2759	GO:0016021	C	IEA
1358374at2759	GO:0003677	F	IEA
1358374at2759	GO:0046872	F	IEA
1362234at2759	GO:0003993	F	IEA
1362234at2759	GO:0004725	F	IEA
1362234at2759	GO:0004726	F	IEA
1362234at2759	GO:0005737	C	IEA
1362234at2759	GO:0006470	P	IEA
1362234at2759	GO:0016787	F	IEA
1362234at2759	GO:0016791	F	IEA
1375062at2759	GO:0016020	C	IEA
1375062at2759	GO:0016021	C	IEA
1388419at2759	GO:0003954	F	IEA
1388419at2759	GO:0006116	P	IEA
1388419at2759	GO:0016491	F	IEA
1411806at2759	GO:0000776	C	IEA
1411806at2759	GO:0004672	F	IEA
1411806at2759	GO:0004674	F	IEA
1411806at2759	GO:0005524	F	IEA
1411806at2759	GO:0006468	P	IEA
1411806at2759	GO:0007094	P	IEA
1411806at2759	GO:0016301	F	IEA
1411806at2759	GO:0016310	P	IEA
1422013at2759	GO:0005737	C	IBA
1422013at2759	GO:0008168	F	IEA
1422013at2759	GO:0016192	P	IEA
1422013at2759	GO:0016279	F	IBA
1422013at2759	GO:0016740	F	IEA
1422013at2759	GO:0018022	P	IEA
1422013at2759	GO:0018026	P	IBA
1422013at2759	GO:0018027	P	IBA
1422013at2759	GO:0032259	P	IEA
1422066at2759	GO:0005737	C	IEA
1422066at2759	GO:0005769	C	IEA
1422066at2759	GO:0005886	C	IEA
1422066at2759	GO:0008285	P	IEA
1422066at2759	GO:0016020	C	IEA
1422066at2759	GO:0016021	C	IEA
1422066at2759	GO:0031267	F	IEA
1422066at2759	GO:0032007	P	IEA
1424146at2759	GO:0000139	C	IEA
1424146at2759	GO:0005774	C	IEA
1424146at2759	GO:0005794	C	IEA
1424146at2759	GO:0006486	P	IEA
1424146at2759	GO:0006487	P	IEA
1424146at2759	GO:0008375	F	IEA
1424146at2759	GO:0016020	C	IEA
1424146at2759	GO:0016021	C	IEA
1424146at2759	GO:0016740	F	IEA
1424146at2759	GO:0016757	F	IEA
1424146at2759	GO:0030154	P	IEA
1424146at2759	GO:0043934	P	IEA
1424146at2759	GO:0048856	P	IEA
1424146at2759	GO:0097502	P	IEA
1436035at2759	GO:0000413	P	IEA
1436035at2759	GO:0003676	F	IEA
1436035at2759	GO:0003723	F	IEA
1436035at2759	GO:0003755	F	IEA
1436035at2759	GO:0005634	C	IEA
1436035at2759	GO:0016853	F	IEA
1442062at2759	GO:0000049	F	IEA
1442062at2759	GO:0002098	P	IEA
