ko	og	count
K01763	516638at2759	14
K01763	697150at2759	25
K01763	798576at2759	6
K10800	960725at2759	10
K06111	1400860at2759	1
K06111	96167at2759	21
K10158	901158at2759	83
K13289	607679at2759	122
K13289	625787at2759	128
K14731	1082229at2759	5
K01622		
K17204		
K16061	1037932at2759	1
K16061	1063438at2759	5
K16061	1340284at2759	54
K16061	1404665at2759	58
K16061	1587197at2759	1
K16061	554512at2759	26
K16061	77113at2759	102
K16061	926101at2759	32
K21581		
K02154	181796at2759	68
K16003		
K21513		
K10142	638341at2759	35
K04335		
K15939		
K04425	226722at2759	28
K15589	187847at2759	7
K15589	331262at2759	52
K15785		
K16122		
K08008	936110at2759	88
K15544	1304061at2759	19
K15544	808738at2759	42
K08874	1317800at2759	1
K08874	7189at2759	22
K06558	711951at2759	16
K03831		
K24972		
K04101		
K17237		
K11425	322501at2759	2
K11425	507784at2759	56
K20078		
K01933	105366at2759	26
K01933	1281175at2759	4
K01933	798576at2759	6
K01933	812251at2759	2
K10129	1407808at2759	9
K05827		
K14619	1233171at2759	21
K00408	695671at2759	18
K00408	745245at2759	61
K13279	1129256at2759	25
K13279	1326484at2759	63
K10752	100998at2759	32
K10752	1068414at2759	13
K10752	552726at2759	78
K10752	658269at2759	18
K10752	780884at2759	1
K10752	793152at2759	19
K10752	831322at2759	77
K21197	1354776at2759	1
K21197	661695at2759	1
K21197	793821at2759	3
K10953		
K11630		
K22417	48717at2759	67
K07812		
K20269		
K06058	1253641at2759	1
K06058	1431236at2759	24
K06058	143182at2759	22
K06058	600021at2759	28
K06058	815665at2759	1
K06058	937161at2759	56
K06058	999044at2759	1
K07649		
K01702	265826at2759	13
K07690		
K20420		
K05703	539311at2759	129
K05703	967682at2759	2
K12575	1325057at2759	1
K03899	454773at2759	198
K09688		
K19887		
K02536		
K09031	1737689at2759	2
K09031	821297at2759	1
K13476		
K10269	1027299at2759	68
K07189	1037573at2759	1
K07189	1047478at2759	7
K07189	1232750at2759	82
K07189	1306661at2759	1
K06494	445079at2759	22
K06704	162519at2759	264
K12135	1303650at2759	25
K16133		
K18695	563564at2759	10
K18695	687958at2759	42
K22450	1429454at2759	11
K11224	327469at2759	62
K04707	1510545at2759	89
K04707	234717at2759	2
K04707	540689at2759	23
K13969	550620at2759	48
K18851		
K04354	810409at2759	61
K04354	938055at2759	1
K04468	741207at2759	243
K06647	707272at2759	12
K12186	1021387at2759	21
K20064	497681at2759	27
K19320		
K13582		
K10419	1253228at2759	105
K10419	1512428at2759	38
